Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
1.29,0,132.069506295,99.8387290089,-0.668056534925,1.4968536,0.0,-9.80983155549,
1.3,0,133.067238221,99.7731926621,-0.66805654997,1.4968536,0.0,-9.80983177641,
1.31,0,134.064314784,99.7076563138,-0.668056565005,1.4968536,0.0,-9.80983199719,
1.32,0,135.060735984,99.6421199641,-0.66805658003,1.4968536,0.0,-9.80983221782,
1.33,0,136.05650182,99.5765836128,-0.668056595046,1.4968536,0.0,-9.80983243831,
1.34,0,137.051612293,99.5110472601,-0.668056610051,1.4968536,0.0,-9.80983265866,
1.35,0,138.046067402,99.4455109059,-0.668056625047,1.4968536,0.0,-9.80983287886,
1.36,0,139.039867147,99.3799745503,-0.668056640033,1.4968536,0.0,-9.80983309891,
1.37,0,140.033011529,99.3144381932,-0.668056655009,1.4968536,0.0,-9.80983331882,
1.38,0,141.025500548,99.2489018346,-0.668056669975,1.4968536,0.0,-9.80983353858,
1.39,0,142.017334202,99.1833654745,-0.668056684931,1.4968536,0.0,-9.8098337582,
1.4,0,143.008512493,99.117829113,-0.668056699878,1.4968536,0.0,-9.80983397768,
1.41,0,143.999035421,99.05229275,-0.668056714814,1.4968536,0.0,-9.80983419701,
1.42,0,144.988902985,98.9867563855,-0.668056729741,1.4968536,0.0,-9.80983441619,
1.43,0,145.978115185,98.9212200196,-0.668056744657,1.4968536,0.0,-9.80983463523,
1.44,0,146.966672022,98.8556836522,-0.668056759564,1.4968536,0.0,-9.80983485412,
1.45,0,147.954573494,98.7901472834,-0.668056774461,1.4968536,0.0,-9.80983507287,
1.46,0,148.941819604,98.7246109131,-0.668056789348,1.4968536,0.0,-9.80983529148,
1.47,0,149.928410349,98.6590745413,-0.668056804226,1.4968536,0.0,-9.80983550994,
1.48,0,150.914345731,98.5935381681,-0.668056819093,1.4968536,0.0,-9.80983572825,
1.49,0,151.899625749,98.5280017934,-0.66805683395,1.4968536,0.0,-9.80983594642,
1.5,0,152.884250403,98.4624654173,-0.668056848798,1.4968536,0.0,-9.80983616445,
1.51,0,153.868219693,98.3969290397,-0.668056863636,1.4968536,0.0,-9.80983638232,
1.52,0,154.85153362,98.3313926606,-0.668056878464,1.4968536,0.0,-9.80983660006,
1.53,0,155.834192183,98.2658562801,-0.668056893282,1.4968536,0.0,-9.80983681765,
1.54,0,156.816195382,98.2003198982,-0.66805690809,1.4968536,0.0,-9.80983703509,
1.55,0,157.797543217,98.1347835148,-0.668056922888,1.4968536,0.0,-9.80983725239,
1.56,0,158.778235688,98.0692471299,-0.668056937676,1.4968536,0.0,-9.80983746955,
1.57,0,159.758272795,98.0037107436,-0.668056952455,1.4968536,0.0,-9.80983768656,
1.58,0,160.737654539,97.9381743558,-0.668056967224,1.4968536,0.0,-9.80983790342,
1.59,0,161.716380919,97.8726379666,-0.668056981982,1.4968536,0.0,-9.80983812014,
1.6,0,162.694451934,97.807101576,-0.668056996731,1.4968536,0.0,-9.80983833672,
1.61,0,163.671867586,97.7415651839,-0.66805701147,1.4968536,0.0,-9.80983855315,
1.62,0,164.648627874,97.6760287919,-0.668056993039,1.4968536,0.0,-9.8098382825,
1.63,0,165.624732798,97.6104924002,-0.668057007803,1.4968536,0.0,-9.80983849929,
1.64,0,166.600182358,97.544956007,-0.668057022556,1.4968536,0.0,-9.80983871594,
1.65,0,167.574976554,97.4794196124,-0.6680570373,1.4968536,0.0,-9.80983893244,
1.66,0,168.549115386,97.4138832163,-0.668057052034,1.4968536,0.0,-9.8098391488,
1.67,0,169.522598855,97.3483468188,-0.668057066759,1.4968536,0.0,-9.80983936501,
1.68,0,170.495426959,97.2828104198,-0.668057081473,1.4968536,0.0,-9.80983958107,
1.69,0,171.467599699,97.2172740194,-0.668057096177,1.4968536,0.0,-9.80983979699,
1.7,0,172.439117075,97.1517376175,-0.668057110871,1.4968536,0.0,-9.80984001277,
1.71,0,173.409979087,97.0862012142,-0.668057125556,1.4968536,0.0,-9.8098402284,
1.72,0,174.380185735,97.0206648095,-0.668057140231,1.4968536,0.0,-9.80984044388,
